"Participant_ID","Trial_ID","Timestamp_ms","Interval_ms","Action","Input_Method","Slot_ID","Key_Is_Special","Slot_ID_num","Pressed_Key","Expected_Key","Status","Chars_On_Screen","Cumulative_Errors","Browser","System","Is_Mobile","Window_Width_mm","Window_Height_mm","Button_Width_mm","Button_Height_mm","UA"
"r_iEmWwjfB",1,13380,1120,"KeyPress","touch","bottom-isolated","YES",1.4142135623730951,"1","1","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",1,13689,309,"KeyPress","touch","middle-center","NO",1.4142135623730951,"0","0","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",2,15678,1989,"KeyPress","touch","bottom-isolated","YES",1.4142135623730951,"H","H","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",2,16916,1238,"KeyPress","touch","top-center","NO",2.23606797749979,"J","J","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",2,19507,2591,"KeyPress","touch","bottom-center","NO",1.0,"E","E","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",2,19996,489,"KeyPress","touch","bottom-center","NO",1.0,"E","E","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",2,21203,1207,"KeyPress","touch","top-center","NO",2.23606797749979,"J","J","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",3,22742,1538,"KeyPress","touch","middle-right","NO",1.0,"6","6","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",3,23158,416,"KeyPress","touch","bottom-center","NO",1.0,"8","8","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",3,23733,575,"KeyPress","touch","middle-left","NO",2.23606797749979,"4","4","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",3,24252,519,"KeyPress","touch","bottom-isolated","YES",1.4142135623730951,"0","0","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",3,24365,113,"KeyPress","touch","middle-left","NO",2.23606797749979,"4","4","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",4,25304,939,"KeyPress","touch","middle-center","NO",1.4142135623730951,"5","5","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",4,25467,163,"KeyPress","touch","middle-center","NO",1.4142135623730951,"5","5","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",4,27706,2239,"KeyPress","touch","bottom-center","NO",1.0,"6","6","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",4,29258,1552,"KeyPress","touch","bottom-right","NO",0.0,"2","2","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",4,29466,208,"KeyPress","touch","middle-right","NO",1.0,"9","9","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",5,31607,2140,"KeyPress","touch","bottom-right","NO",0.0,"3","3","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",5,32065,458,"KeyPress","touch","top-right","NO",2.0,"9","9","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",5,33008,943,"KeyPress","touch","bottom-center","NO",1.0,"2","2","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",5,33456,448,"KeyPress","touch","middle-center","NO",1.4142135623730951,"5","5","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",5,33687,231,"KeyPress","touch","middle-right","NO",1.0,"6","6","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",6,34748,1061,"KeyPress","touch","top-center","NO",2.23606797749979,"8","8","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",6,34927,179,"KeyPress","touch","top-center","NO",2.23606797749979,"8","8","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",6,35417,490,"KeyPress","touch","middle-right","NO",1.0,"6","6","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",6,36035,618,"KeyPress","touch","middle-left","NO",2.23606797749979,"4","4","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",6,36439,404,"KeyPress","touch","bottom-center","NO",1.0,"2","2","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",7,37868,1429,"KeyPress","touch","top-right","NO",2.0,"#FFFFFF","#FFFFFF","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",7,38462,594,"KeyPress","touch","middle-center","NO",1.4142135623730951,"#00FFFF","#00FFFF","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",7,39567,1105,"KeyPress","touch","bottom-center","NO",1.0,"#FFA500","#FFA500","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",7,40513,946,"KeyPress","touch","middle-left","NO",2.23606797749979,"#008000","#008000","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",7,41573,1060,"KeyPress","touch","bottom-left","NO",2.0,"#FF0000","#FF0000","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",8,42758,1184,"KeyPress","touch","bottom-center","NO",1.0,"#FFA500","#FFA500","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",8,43636,878,"KeyPress","touch","middle-left","NO",2.23606797749979,"#FF0000","#FF0000","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",8,44451,815,"KeyPress","touch","middle-center","NO",1.4142135623730951,"#808080","#808080","Correct",13,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",8,45419,968,"KeyPress","touch","top-left","NO",2.8284271247461903,"#00FFFF","#00FFFF","Correct",14,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",8,46202,783,"KeyPress","touch","middle-left","NO",2.23606797749979,"#FF0000","#FF0000","Correct",15,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",9,48037,1835,"KeyPress","touch","top-right","NO",2.0,"9","9","Correct",11,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
"r_iEmWwjfB",9,48143,106,"KeyPress","touch","middle-left","NO",2.23606797749979,"4","4","Correct",12,0,"Firefox","Android",1,101.6,189.97,23.81,16.93,"Mozilla/5.0 (Android 16; Mobile; rv: 149.0) Gecko/149.0 Firefox/149.0"
